Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Semotilus,Semotilus,216,225,5.92,1,NO_ANNOT,"the, Species, of, the, Genus","�, Blatchley, Willis, S., On",Exact,0,Semotilus,Semotilus,7FHQ,1,Catalogue of Life,
1,Pimephales,Pimephales,338,348,3.50,1,NO_ANNOT,"the, Species, of, the, Genus","�, On, the, Genus, Aphredoderus",Exact,0,Pimephales,Pimephales,6QKS,1,Catalogue of Life,
2,Aphredoderus,Aphredoderus,365,377,5.96,1,NO_ANNOT,"Pimephales, �, On, the, Genus","�, Eastlake, F., Warrington, Entomologia",Exact,0,Aphredoderus,Aphredoderus,YH8,1,Catalogue of Life,
3,Lepidoptera,Lepidoptera,449,460,3.82,1,NO_ANNOT,"Hongkongensis, �, Report, on, the","of, Hongkong, �, Eigenman, Carl",Exact,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,
4,Cyanocorax,Cyanocorax,799,809,5.30,1,NO_ANNOT,"New, Species, of, the, Genus","�, A, Review, of, the",Exact,0,"Cyanocorax F. Boie, 1826",Cyanocorax,3XNP,1,Catalogue of Life,
5,Phrynosoma,Phrynosoma,835,845,5.28,1,NO_ANNOT,"A, Review, of, the, Genus","�, Hall, Edward, A., and",Exact,0,"Phrynosoma Cope, 1878",Phrynosoma,87JPS,1,Catalogue of Life,
6,"Partula,",Partula,1004,1012,4.59,1,NO_ANNOT,"Descriptions, of, new, Species, of","and, a, Synonymic, Catalogue, of",Exact,0,"Partula A. Férussac, 1821",Partula,7PBZ7,1,Catalogue of Life,
7,Esox,Esox,1328,1332,2.08,1,NO_ANNOT,"the, Species, of, the, Genus","�, A, Review, of, the",Exact,0,Esox,Esox,62RD5,1,Catalogue of Life,
8,Notes,Notes,1514,1519,2.52,1,NO_ANNOT,"Animal, Evolution, Rand, Theo, I","on, the, Lafayette, Serpentine, Belt",Exact,0,Notes,Notes,3950760,168,ION,
9,"Americanus,",Americanus,1615,1626,5.93,1,NO_ANNOT,"Page, Scott, W., l, Cervalcefi","i, fossil, Moose, or, Elk",Exact,0,Americanus,Americanus,30472096-2,167,IPNI,
10,Notes,Notes,1856,1861,2.52,1,NO_ANNOT,"the, older, American, Rocks, �","on, Mesozoic, Cockroaches, �, Btejneger",Exact,0,Notes,Notes,3950760,168,ION,
11,Lanius robustus,Lanius robustus,1922,1937,11.83,2,NO_ANNOT,"�, Btejneger, Leonhard, Uemarks, on","Baird, based, on, an, examination",Exact,0,Lanius robustus,Lanius robustus,333329,183,Sherborn Index Animalium,
12,Colias,Colias,2033,2039,4.79,1,NO_ANNOT,"Eermann, Description, of, a, new","from, the, Rocky, Mountains, and",Exact,0,Colias,Colias,3S9M,1,Catalogue of Life,
13,Samia,Samia,2105,2110,3.93,1,NO_ANNOT,"an, Example, of, I�olymelianism, in","Cecropia, �, Description, of, new",Exact,0,Samia,Samia,7C3J,1,Catalogue of Life,
14,Cecropia,Cecropia,2111,2119,5.13,1,NO_ANNOT,"Example, of, I�olymelianism, in, Samia","�, Description, of, new, Species",Exact,0,Cecropia Loefl.,Cecropia,3JWC,1,Catalogue of Life,
15,Lepidoptera,Lepidoptera,2153,2164,3.82,1,NO_ANNOT,"Description, of, new, Species, of","�, -ninth, Charles, and, Prank",Exact,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,
16,Palaeocrinoidea.,Palaeocrinoidea,2222,2238,4.68,1,NO_ANNOT,"Prank, Springer, Revision, of, the","Pari, Iii., Discussion, of, the",Exact,0,Palaeocrinoidea Wachsmuth,Palaeocrinoidea,4320024,168,ION,
17,"Semotilus,""",Semotilus,2622,2633,5.92,1,NO_ANNOT,"the, Species, of, the, Genus","by, Ernest, P., Bicknell, and",Exact,0,Semotilus,Semotilus,7FHQ,1,Catalogue of Life,
18,"Junco hyemalis,",Junco hyemalis,3061,3076,8.49,2,NO_ANNOT,"carcass, of, a, Snow, Bird","in, which, he, reported, a",Exact,0,"Junco hyemalis (Linnaeus, 1758)",Junco hyemalis,6NFHF,1,Catalogue of Life,
19,Filaria obtusa,Filaria obtusa,3655,3669,8.85,2,NO_ANNOT,"worms, appear, to, be, the","Rudolphi, wdiich, infests, the, Hirundo",Exact,0,Filaria obtusa,Filaria obtusa,280487,183,Sherborn Index Animalium,
20,"Hirundo rvstica,",Hirundo rvstica,3699,3715,5.31,2,NO_ANNOT,"obtusa, Rudolphi, wdiich, infests, the","and, other, species, of, European",Fuzzy,1,"Hirundo rustica Linnaeus, 1758",Hirundo rustica,3M4S7,1,Catalogue of Life,
21,"F. obtusa,",F. obtusa,3888,3898,5.46,2,NO_ANNOT,"agree, with, the, descriptions, of","as, given, by, Diesing, and",NoMatch,,,,,,,,
22,"Helminthes,",Helminthes,3986,3997,3.05,1,NO_ANNOT,"given, by, the, latter, Hist","pi, iii, except, that, it",Exact,0,Helminthes Guerro & Rojas 1969,Helminthes,4364259,168,ION,
23,"Filaria obtusa,",Filaria obtusa,4529,4544,8.85,2,NO_ANNOT,"specimens, apparently, also, pertaining, to","Dr., Warren, obtained, from, the",Exact,0,Filaria obtusa,Filaria obtusa,280487,183,Sherborn Index Animalium,
24,Sturnella magna.,Sturnella magna,4638,4654,10.75,2,NO_ANNOT,"wall, of, a, Meadow, Lark","Two, are, females, �, and",Exact,0,"Sturnella magna (Linnaeus, 1758)",Sturnella magna,537YX,1,Catalogue of Life,
25,Filaria physalura,Filaria physalura,4908,4925,9.43,2,NO_ANNOT,"species, appears, to, be, the","of, Bremser, described, from, specimens",Exact,0,Filaria physalura,Filaria physalura,3721190,168,ION,
26,Gallinaqo,Gallinaqo,5777,5786,3.58,1,NO_ANNOT,"cavity, of, a, Gray, Snipe","Wilsoni, Dr., Warren, obtained, five",NoMatch,,,,,,,,
27,"Antrostomus vociferus,",Antrostomus vociferus,5920,5942,12.58,2,NO_ANNOT,"Mono�tomum, mutabile, Prom, a, Whippoorwill","Dr., Warren, obtained, four, worms",Exact,0,"Antrostomus vociferus (A. Wilson, 1812)",Antrostomus vociferus,F4NC,1,Catalogue of Life,
28,Ascaris subulata.,Ascaris subulata,6042,6059,12.38,2,NO_ANNOT,"mm, which, appear, to, be","From, the, Pileated, Woodpecker, Hylotomus",Exact,0,Ascaris subulata,Ascaris subulata,54540,183,Sherborn Index Animalium,
29,"Hylotomus pileatus,",Hylotomus pileatus,6090,6109,12.88,2,NO_ANNOT,"subulata, From, the, Pileated, Woodpecker","Dr., Warren, obtained, ten, worms",Exact,0,Hylotomus pileatus,Hylotomus pileatus,gn_221519,186,MCZbase,
30,Spiroptera quadriloba,Spiroptera quadriloba,6172,6193,11.38,2,NO_ANNOT,"appear, to, pertain, to, the","Rudolphi, the, female, of, which",Exact,0,Spiroptera quadriloba,Spiroptera quadriloba,325569,183,Sherborn Index Animalium,
31,Picus viridis.,Picus viridis,6295,6309,11.69,2,NO_ANNOT,"found, in, the, Green, Woodpecker","The, specimens, are, reported, as",Exact,0,"Picus viridis Linnaeus, 1758",Picus viridis,4HR3F,1,Catalogue of Life,
32,Umbra limi,Umbra limi,7463,7473,6.40,2,NO_ANNOT,"is, the, coloration, The, true","is, dull, olive-green, in, color",Exact,0,"Umbra limi (Kirtland, 1840)",Umbra limi,7DGKQ,1,Catalogue of Life,
33,"Umbra limi pygmaea),",Umbra limi pygmaea,7742,7762,10.50,3,NO_ANNOT,"as, a, geographical, subspecies, �","is, much, darker, in, color",Exact,0,"Umbra limi pygmaea (DeKay, 1842)",Umbra limi pygmaea,162152,3,ITIS,
34,Umbra limi.,Umbra limi,8114,8125,6.40,2,NO_ANNOT,"the, two, forms, �, �","Hydrargyra, limi, Kirtland, Bost, Journ",Exact,0,"Umbra limi (Kirtland, 1840)",Umbra limi,7DGKQ,1,Catalogue of Life,
35,Hydrargyra limi,Hydrargyra limi,8126,8141,8.71,2,NO_ANNOT,"forms, �, �, Umbra, limi","Kirtland, Bost, Journ, Nat., Hist",Fuzzy,1,"Hydrargira limi Kirtland, 1840",Hydrargira limi,3N4JB,1,Catalogue of Life,
36,Melanura limi,Melanura limi,8209,8222,8.92,2,NO_ANNOT,"iii, �, �, Northern, Ohio","Agassiz, Amer, Journ, Sci., Arts",Exact,0,Melanura limi,Melanura limi,gn_33482,186,MCZbase,
37,Melanura limi).,Melanura limi,8987,9002,8.92,2,NO_ANNOT,"ii, �, H, Food, of","Umbra, limi, Giinther, Cat., Fish",Exact,0,Melanura limi,Melanura limi,gn_33482,186,MCZbase,
38,Umbra limi,Umbra limi,9003,9013,6.40,2,NO_ANNOT,"H, Food, of, Melanura, limi","Giinther, Cat., Fish, Brit, Mus",Exact,0,"Umbra limi (Kirtland, 1840)",Umbra limi,7DGKQ,1,Catalogue of Life,
39,Laporte,Laporte,9118,9125,3.87,1,NO_ANNOT,"Sci., Philad, �, �, Lakes","Co, Ind., �, St., Joseph�s",NoMatch,,,,,,,,
40,Hydrargyra fusca,Hydrargyra fusca,9291,9307,10.17,2,NO_ANNOT,"Fish, N., A, �, �","Thompson, Nat., Hist, Vt, �",Exact,0,Hydrargyra fusca Thompson 1842,Hydrargyra fusca,141070413,151,Catalog of Fishes,
41,Hydrargyra atricauda,Hydrargyra atricauda,9362,9382,11.06,2,NO_ANNOT,"Vt, �, �, Lake, Champlain","De, Kay, New, York, Fauna",Exact,0,Hydrargyra atricauda DeKay 1842,Hydrargyra atricauda,141070412,151,Catalog of Fishes,
42,Umbra limi,Umbra limi,9443,9453,6.40,2,NO_ANNOT,"Fishes, �, �, Lake, Champlain","pygmaealeuciscus, pygmceas, De, Kay, N.",Exact,0,"Umbra limi (Kirtland, 1840)",Umbra limi,7DGKQ,1,Catalogue of Life,
43,Melanura pygmcea,Melanura pygmcea,9550,9566,11.63,2,NO_ANNOT,"Tappan, Rockland, Co, N., Y","Baird, Ninth, Smithson, Rept, �",Fuzzy,1,Melanura pygmaea,Melanura pygmaea,gn_125902,186,MCZbase,
44,Umbra pygmcea,Umbra pygmcea,9816,9829,5.01,2,NO_ANNOT,"�, James, R, Neuse, R","Bean, Mss., �, Jordan, Bull",Fuzzy,1,"Umbra pygmaea (DeKay, 1842)",Umbra pygmaea,7DGKY,1,Catalogue of Life,
45,Fundulus fuscus,Fundulus fuscus,10031,10046,12.27,2,NO_ANNOT,"�, �, Kingston, N., C","Ayres, Bost, Journ, Nat., Hist",Exact,0,Fundulus fuscus Ayres 1843,Fundulus fuscus,141063646,151,Catalog of Fishes,
46,Melanura annulata,Melanura annulata,10121,10138,13.05,2,NO_ANNOT,"�, Brook, Haven, Long, Island","Agassiz, Amer, Journ, Sci., Arts",Exact,0,"Melanura annulata Agassiz, 1853",Melanura annulata,162151,3,ITIS,
47,Exoglossum annulatum,Exoglossum annulatum,10187,10207,12.93,2,NO_ANNOT,"Sci., Arts, �, �, not",Rafinesque,Exact,0,"Exoglossum annulatum Rafinesque, 1818",Exoglossum annulatum,6HN7B,1,Catalogue of Life,
